▶ 검색조건 [ 조회기간: 2019-01-01~2020-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
183,수퍼 소닉,2020-02-12,932457150,0,932457150,118725,118725,609,11143,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"애니메이션,액션,어드벤처",제프 파울러,"제임스 마스던,짐 캐리,벤 슈왈츠,티카 섬터"
184,언힌지드,2020-10-07,1018720190,0,1018720190,118570,118570,676,19770,미국,미국,,"(주)누리픽쳐스,(주)영화특별시에스엠씨",청소년관람불가,"스릴러,범죄",데릭 보트,"러셀 크로우,카렌 피스토리우스,가브리엘 베이트먼,지미 심슨"
185,명탐정 코난:전율의 악보,2019-02-14,890692400,0,890692400,116059,116059,213,3254,일본,일본,,(주)씨제이이엔엠,12세이상관람가,"애니메이션,미스터리",야마모토 야스이치로,"타카야마 미나미,야마자키 와카나,카미야 아키라"
186,안나,2019-08-28,958388240,0,958388240,116029,116029,431,7492,프랑스,프랑스,,판씨네마(주),15세이상관람가,액션,뤽 베송,"사샤 루스,킬리언 머피,루크 에반스,헬렌 미렌"
187,교회오빠,2019-05-16,898398710,0,898398710,112898,112898,200,5271,한국,한국,"KBS,커넥트픽쳐스(주)",커넥트픽쳐스(주),전체관람가,다큐멘터리,이호경,"이관희,오은주,이소연,박준오,안효빈,김석진,김은숙,이소연,김희철,이진희,황인경,권동진,김관옥,김문숙,김삼화,김양재,김양진,김지숙,김창복,이현희,주성길,유정임,정정희,이봉순,최원준,오은천,최한중,전제충,오명기,백승혁,백용현,석미진,신승윤,황성주,허현숙,이상윤,이승민"
188,조조 래빗,2020-02-05,965388200,0,965388200,112136,112136,277,9147,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"코미디,드라마,전쟁",타이카 와이티티,"스칼렛 요한슨,로만 그리핀 데이비스,타이카 와이티티,토마신 맥켄지,샘 록웰,레벨 윌슨,스테판 머천트,알피 알렌"
189,언더워터,2020-05-27,937112800,0,937112800,109207,109207,594,18257,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,스릴러,윌리엄 유뱅크,"크리스틴 스튜어트,뱅상 카셀"
190,로켓맨,2019-06-05,936108063,0,936108063,108586,108586,640,9870,영국,"영국,미국",,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"드라마,판타지",덱스터 플레처,"태런 에저튼,리처드 매든,브라이스 달라스 하워드,제이미 벨"
191,디바,2020-09-23,901717350,0,901717350,108122,108122,831,18923,한국,한국,"영화사올(주),팔팔애비뉴(주)",플러스엠 엔터테인먼트,15세이상관람가,"스릴러,미스터리",조슬예,"신민아,이유영,이규형,주석태,오하늬,박성연,허형규,윤금선아,강민지,지이수,곽지혜,최다인,박충선,천지유,허동원,황정남,변진수,남지우,양윤호,문서윤,김희상,김민채,오희준,한승우,천지유,정재훈,하이선,이서주,김승비,김태리,장햇살,배소영,김바비,김가애,정재민,조문홍,도현,윤정훈,안정빈,김성준,권훈,박현욱,김현식,윤정원,조은지,이성혜,김연정,박수경,고은지,유창수,형진성,임재영,정연재,김진용,조성인,조은비,조은지,김소연,심채영,주호현,이성혜,김진용,조성인,임재영,정연재,정다연,박하름,권하림,류민재,이재경,류용찬,문나윤,고현주,윤연수,강민범,고성권,김소연,심채영,주호현,김서연,정동민,최아연,유서준,안태영,김연정,김승현,손가은,최종민,김동영,손성환,이현민,이승연,윤솔,강민성,신재이,김정민,김나현,최하은,박찬현,이원섭,강민혁,김서경,최강인,백승진"
192,미래의 미라이,2019-01-16,854227757,0,868952557,105657,107228,508,7762,일본,일본,,플러스엠 엔터테인먼트,전체관람가,애니메이션,호소다 마모루,"쿠로키 하루,카미시라이시 모카,야쿠쇼 코지,후쿠야마 마사하루"
193,암전,2019-08-15,933064215,0,933064215,105574,105574,423,5127,한국,한국,"주식회사 토닉프로젝트,(주)아이뉴컴퍼니",TCO(주)더콘텐츠온,15세이상관람가,"미스터리,공포(호러)",김진원,"서예지,진선규,김보라,차엽,남태부,서석규,서정우,손선아,김미경,지윤호,이성교,조재영,조아라,김흥열,차우진,윤정로,주종혁,진선규,김도건,김선동,김재인,신소이,신소이,신지인,이태규,추정훈,한도담"
194,죽지않는 인간들의 밤,2020-09-29,852639440,0,852639440,104034,104034,570,12667,한국,한국,"(주)브라더픽쳐스,TCO(주)더콘텐츠온",TCO(주)더콘텐츠온,15세이상관람가,"코미디,스릴러",신정원,"이정현,김성오,서영희,양동근,이미도,진현광,장명갑,신민재,문종필,백승철,이태규,진현광,김기천,주보비,배영란,오진영,홍민수,류경환,전성원,옥수분,임채선,문영동,장래군,강덕중,손소영,이신기,강다빈,황동욱,이승욱,박연수,최주영,오재균,임다영,임지민,김주하,김채원,우서라,최유리,김진걸,김광섭,신마린,김명래,전상배,박성수,김상윤,임재홍,김지현,이승구,김성수,김재형,이재호,오윤수,황보라,성민아,이장섭,유하나,이준,김현이,이유진,김승준,김병오,박경모,이재웅,송지민,정성훈,전제혁,김경우,조민교,김원중,우영택,박현선,문광식,전종석,이얀,정윤민,이상희,김연경,김서원,신중혁"
195,저 산 너머,2020-04-30,772685300,0,772685300,103534,103534,468,13037,한국,한국,리온픽쳐스(주),(주)리틀빅픽쳐스,12세이상관람가,드라마,최종태,"이항나,이경훈,안내상,강신일,송창의,이열음,강호운,권겸민,권윤하,권윤하,권은서,권한준,김관장,김기천,김달수,김도윤,김도천,김동화,김민우,김민준,김서윤,김선간,김승원,김영재,김요영,김원진,김정자,김주빈,김지황,김해승,김현이,김형도,남상원,노은준,박두서,박현근,박현욱,백승현,백승현,백승호,백장현,손범경,손영만,신재민,심언재,안광훈,안내상,엄주연,여칠식,염수녀,오성진,우현,우명희,우주혁,유병선,윤상혁,윤서진,윤석헌,윤석호,윤용덕,이신,이연,최미령,이도엽,최원석,최재욱,이서준,최지호,이성호,최한결,이슬비,이예주,이정훈,이종명,황현빈,이한슬,이해숙,조아라,임일규,임재헌,임한빈,장서진,진서,정진우,전민호,전상곤,전지학,정상현,윤슬"
196,기기괴괴 성형수,2020-09-09,873144560,0,873144560,103411,103411,276,13512,한국,한국,"(주)에스에스애니멘트 ,(주)스튜디오 애니멀",(주)트리플픽쳐스,15세이상관람가,"공포(호러),스릴러",조경훈,"문남숙,장민혁,조현정,김보영,최승훈,김소형,강시현,박성광,정유정,황창영,서반석"
197,람보 : 라스트 워,2019-10-23,800099140,0,800099140,103199,103199,483,8220,미국,미국,,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",청소년관람불가,액션,애드리언 그런버그,"실베스터 스탤론,파즈 베가,세르지오 페리스-멘체타"
198,공포의 묘지,2019-04-10,894409836,0,894409836,102826,102826,564,11578,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"공포(호러),스릴러","케빈 콜쉬,데니스 위드미어","제이슨 클락,존 리스고,에이미 세이메츠"
199,원더랜드,2019-08-14,766608510,0,766608510,102715,102715,404,3948,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"애니메이션,코미디,어드벤처,가족",딜런 브라운,"소연,장민혁,안장혁,안소이,변영희,홍진욱,정재헌,최덕희,오인성,제니퍼 가너,밀라 쿠니스,켄 정,브리아나 덴스키,케난 톰슨,존 올리버,켄 허드슨 캠벨,노버트 리오 버츠,매튜 브로데릭"
200,크게 될 놈,2019-04-18,781972420,0,781972420,102374,102374,447,7901,한국,한국,밀짚모자영화사(주),(주)영화사오원,15세이상관람가,드라마,강지은,"김해숙,전재진,손호준,남보라,박원상,김영민,박경근,박대웅,동방우,박성남,구혜령,박영일,박준기,김남훈,손영호,박찬규,김도율,김도훈,신상열,김문식,봉신주,봉신주,안세하,유동균,김병순,김상구,윤단비,김상철,김성균,김성현,윤병희,김세인,윤승훈,강도윤,김은주,이상수,이상우,이정환,이상진,이상현,김재경,이상훈,이서한,장세현,권일,장준현,장진영,김형종,김혜란,이성훈,전성훈,이수민,황성호,이지훈,최재영,이진오,최재옥,김승준,김종호,조정훈,강두섭,정민규,강신곤,고건호,고창술,곽희찬,최태영,권영은,금송현,태정,김근수,김영주,김바울,김병윤,김사훈,이동희,이동희,김성윤,김세울,김왕근,김왕용,조명행,김자홍,이우진,이원종,조용민,이원찬,김하종,김해연,이상규,주석제,우도호,나수윤,남기쁨,우영택,우정환,우정환,유소연,유영래,진소현,유종희,정세연,정윤석,정수한,정자영,윤지용,정지만,신영진,이계준,신중혁,정현민,신현욱,이단,정호빈,이대은,이도은,이득신,최선병,이무녕,박승배,이태하,안문혁,이석원,이섭정,최승일,이한터,최영현,안홍찬,최우빈,이시헌,이영식,이욱진,최익준,박준관,이은호,최재웅,오정환,백봉기,최한규,최홍현,전용진,전재진,오도현,손지훈,석영훈,오창민,송시현,송영윤,성빈,송지수,백진환,박광수,홍성광,홍성만,홍성찬,임동우,홍정인,한동호,한승혁,한승현,한승현,한양희,황지훈,한웅기,황희,황희준,한정호,서동민,홍도성,홍동균,홍석우,박장호,박인수,박선우,강기둥,이재현"
201,패왕별희 디 오리지널,2017-03-30,926248060,0,935566460,102205,103290,409,11661,중국,중국,,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트",15세이상관람가,"드라마,멜로/로맨스",첸 카이거,"장국영,공리,장풍의"
202,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020-09-29,3129974000,0.001,3129974000,102008,102008,106,4771,한국,한국,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사,전체관람가,공연,,김호중
203,콜드 체이싱,2019-02-20,777401607,0,777401607,101694,101694,480,7872,영국,영국,,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",15세이상관람가,액션,한스 페터 몰란트,"리암 니슨,톰 베이트먼,윌리엄 포사이스,에미 로섬,로라 던,줄리아 존스"
204,라스트 미션,2019-03-14,837108639,0,837108639,101465,101465,472,8614,미국,미국,,워너브러더스 코리아(주),15세이상관람가,드라마,클린트 이스트우드,"클린트 이스트우드,타이사 파미가,브래들리 쿠퍼,마이클 페나"
205,파이브 피트,2019-04-10,857897420,0,857897420,98661,98661,457,9413,미국,미국,,"(주)누리픽쳐스,(주)케이티알파",15세이상관람가,"드라마,멜로/로맨스",저스틴 밸도니,"콜 스프로즈,헤일리 루 리차드슨,클레어 폴라니,파민더 나그라,모이세스 아리아스"
206,아내를 죽였다,2019-12-11,802024560,0,802024560,98502,98502,556,9134,한국,한국,단테미디어랩,(주)케이티알파,15세이상관람가,"스릴러,액션",김하라,"이시언,안내상,왕지혜,서지영,김기두,이성우,김홍표,안재민,김경민,박근식,옥주리,김지민,박소윤,정선희,양정인,문다은,이주진,이진성,백승훈,민우기,박로드,이정환,권해성,장성우,오상민,김유진,정도현,김필,윤희병,박한들,손대방,김한뉘,김우열,한다미,강학수,김경환,우창훈,이지성,김민지,김상균,차건우,장대웅,이다일,김현창,장남수,한동희,이가경,조유진,이주미,손민석,강서윤,김효숙,김하라,유미란,박현서,한재하,김서언,김준우,원근수,전혜원"
207,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,2020-09-30,780549310,0,780549310,97392,97392,591,7752,일본,일본,,(주)이수C&E,전체관람가,애니메이션,"유야마 쿠니히코,사카키바라 모토노리","이선호,홍시호"
208,소피와 드래곤: 마법책의 비밀,2019-10-02,752417350,0,752417350,96807,96807,469,4613,러시아,러시아,,(주)씨제이이엔엠,전체관람가,"애니메이션,판타지,어드벤처",마리나 네페도바,"정유정,김명준,현경수,홍승효,이상호,임채헌,김다올,강성우"
209,아이 엠 마더,2019-04-11,774580700,0,774580700,94119,94119,213,8218,미국,미국,,"(주)삼백상회,(주)팬엔터테인먼트",15세이상관람가,"액션,드라마,스릴러",피에르 모렐,"제니퍼 가너,존 갤러거 주니어"
210,러브 앳,2019-11-27,747348000,0,747348000,93367,93367,153,5092,프랑스,"프랑스,벨기에",,(주)크리픽쳐스,12세이상관람가,"멜로/로맨스,코미디",위고 젤랭,프랑수아 시빌
211,주디,2020-03-25,760720060,0,760720060,92466,92466,479,17214,영국,영국,,TCO(주)더콘텐츠온,12세이상관람가,"드라마,멜로/로맨스",루퍼트 굴드,르네 젤위거
212,구스 베이비,2019-01-16,652090360,0,652630360,91430,91490,424,4799,미국,미국,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,코미디",크리스토퍼 젠킨스,"전현무,유아,박성광,짐 개피건,젠데이아 콜먼,랜스 임,레지 와츠"
213,미드소마,2019-07-11,816711716,0,816711716,89849,89849,388,5476,미국,미국,,(주)팝엔터테인먼트,청소년관람불가,공포(호러),아리 에스터,"플로렌스 퓨,잭 레이너,윌 폴터,윌리엄 잭슨 하퍼"
214,더 보이,2019-05-23,776591970,0,776591970,89429,89429,509,8579,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"공포(호러),SF",데이빗 야로베스키,"잭슨 A. 던,엘리자베스 뱅크스,데이빗 덴맨"
215,김복동,2019-08-08,713481060,0,713481060,89206,89206,366,5732,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,12세이상관람가,다큐멘터리,송원근,한지민
216,레이니 데이 인 뉴욕,2020-05-06,786619700,0,786619700,88768,88768,563,16054,미국,미국,,"그린나래미디어(주),(주)버킷스튜디오",15세이상관람가,"코미디,멜로/로맨스",우디 앨런,"티모시 샬라메,엘르 패닝,셀레나 고메즈,주드 로,디에고 루나,리브 슈라이버"
